texto,sentimento
"Eu adorei o filme, foi emocionante!","positivo"
"O atendimento no restaurante foi excelente.","positivo"
"Essa música é maravilhosa, me tocou profundamente.","positivo"
"Gostei muito do presente que recebi.","positivo"
"O serviço foi rápido e eficiente.","positivo"
"A comida estava deliciosa, parabéns ao chef!","positivo"
"Esse livro mudou minha vida para melhor.","positivo"
"O passeio foi incrível, tudo perfeito!","positivo"
"Estou muito satisfeito com o resultado final.","positivo"
"Foi uma experiência maravilhosa, recomendo a todos.","positivo"
"O filme foi péssimo, perdi meu tempo.","negativo"
"Fui muito mal atendido no restaurante.","negativo"
"Essa música é horrível, não consegui terminar de ouvir.","negativo"
"Não gostei do presente, foi decepcionante.","negativo"
"O serviço foi lento e confuso.","negativo"
"A comida estava ruim, muito salgada.","negativo"
"Esse livro é chato e sem sentido.","negativo"
"O passeio foi um desastre, tudo deu errado.","negativo"
"Estou muito insatisfeito com o resultado.","negativo"
"Foi uma experiência horrível, não recomendo.","negativo"
